Stopword;Language;English translation;Needed in your language;Remove it from my language stopword list;Why? English comment/translation
andere;GERMAN;;;;
anderem;GERMAN;;;;
anderen;GERMAN;;;;
anderer;GERMAN;;;;
anderes;GERMAN;;;;
anderm;GERMAN;;;;
andern;GERMAN;;;;
anderr;GERMAN;;;;
anders;GERMAN;;;;
auch;GERMAN;also;yes;;place name in France
auf;GERMAN;on;;;
aus;GERMAN;out of;;;
bei;GERMAN;by;;;
bin;GERMAN;am;;;
bis;GERMAN;until;yes;;like bis, ter, quater...
bist;GERMAN;art;;;
da;GERMAN;there;;;
damit;GERMAN;with it;;;
dann;GERMAN;then;;;
der;GERMAN;the;;;
den;GERMAN;;;;
des;GERMAN;;;;
dem;GERMAN;;;;
die;GERMAN;;;;
das;GERMAN;;;;
daß;GERMAN;that;;;
derselbe;GERMAN;the same;;;
derselben;GERMAN;;;;
denselben;GERMAN;;;;
desselben;GERMAN;;;;
demselben;GERMAN;;;;
dieselbe;GERMAN;;;;
dieselben;GERMAN;;;;
dasselbe;GERMAN;;;;
dazu;GERMAN;to that;;;
dein;GERMAN;thy;;;
deine;GERMAN;;;;
deinem;GERMAN;;;;
deinen;GERMAN;;;;
deiner;GERMAN;;;;
deines;GERMAN;;;;
denn;GERMAN;because;;;
derer;GERMAN;of those;;;
dessen;GERMAN;of him;;;
dich;GERMAN;thee;;;
dir;GERMAN;to thee;;;
du;GERMAN;thou;;;
dies;GERMAN;this;;;
diese;GERMAN;;;;
diesem;GERMAN;;;;
diesen;GERMAN;;;;
dieser;GERMAN;;;;
dieses;GERMAN;;;;
doch;GERMAN;(several meanings);;;
dort;GERMAN;(over) there;;;
durch;GERMAN;through;;;
ein;GERMAN;a;;;
eine;GERMAN;;;;
einem;GERMAN;;;;
einen;GERMAN;;;;
einer;GERMAN;;;;
eines;GERMAN;;;;
einig;GERMAN;some;;;
einige;GERMAN;;;;
einigem;GERMAN;;;;
einigen;GERMAN;;;;
einiger;GERMAN;;;;
einiges;GERMAN;;;;
einmal;GERMAN;once;;;
er;GERMAN;he;;;
ihn;GERMAN;him;;;
ihm;GERMAN;to him;;;
es;GERMAN;it;;;
etwas;GERMAN;something;;;
euer;GERMAN;your;;;
eure;GERMAN;;;;
eurem;GERMAN;;;;
euren;GERMAN;;;;
eurer;GERMAN;;;;
eures;GERMAN;;;;
für;GERMAN;for;;;
gegen;GERMAN;towards;;;
gewesen;GERMAN;p.p. of sein;;;
hab;GERMAN;have;;;
habe;GERMAN;have;;;
haben;GERMAN;have;;;
hat;GERMAN;has;;;
hatte;GERMAN;had;;;
hatten;GERMAN;had;;;
hier;GERMAN;here;yes (probably);;means yesterday
hin;GERMAN;there;;;
hinter;GERMAN;behind;;;
ich;GERMAN;I;;;
mich;GERMAN;me;;;
mir;GERMAN;to me;;;
ihr;GERMAN;you, to her;;;
ihre;GERMAN;;;;
ihrem;GERMAN;;;;
ihren;GERMAN;;;;
ihrer;GERMAN;;;;
ihres;GERMAN;;;;
euch;GERMAN;to you;;;
im;GERMAN;in + dem;;;
in;GERMAN;in;;;
indem;GERMAN;while;;;
ins;GERMAN;in + das;;;
ist;GERMAN;is;;;
jede;GERMAN;each, every;;;
jedem;GERMAN;;;;
jeden;GERMAN;;;;
jeder;GERMAN;;;;
jedes;GERMAN;;;;
jene;GERMAN;that;;;
jenem;GERMAN;;;;
jenen;GERMAN;;;;
jener;GERMAN;;;;
jenes;GERMAN;;;;
jetzt;GERMAN;now;;;
kann;GERMAN;can;;;
kein;GERMAN;no;;;
keine;GERMAN;;;;
keinem;GERMAN;;;;
keinen;GERMAN;;;;
keiner;GERMAN;;;;
keines;GERMAN;;;;
können;GERMAN;can;;;
könnte;GERMAN;could;;;
machen;GERMAN;do;;;
man;GERMAN;one;yes;;place name (Island of Man)
manche;GERMAN;some, many a;yes;;place name in France and in Spain, means also the Channel, and sleeve
manchem;GERMAN;;;;
manchen;GERMAN;;;;
mancher;GERMAN;;;;
manches;GERMAN;;yes;;means sleeves
